"timestamp","site_name","node_id","CL","TNL"
"2016-05-26 07:30:00","hinsa",1,"l2","l0"
"2016-05-25 22:30:00","gamt",1,"l2","l0"
"2016-05-25 22:00:00","gamt",1,"l2","l0"
"2016-05-25 20:00:00","hinsa",1,"l2","l0"
"2016-05-25 20:00:00","baktb",1,"l2","l0"
"2016-05-25 19:30:00","hinsa",1,"l2","l0"
"2016-05-25 16:30:00","humt",1,"l2","l2"
"2016-05-25 16:00:00","nagtb",1,"l2","l0"
"2016-05-25 16:00:00","humt",1,"l2","l2"
"2016-05-25 15:30:00","tuetb",1,"l2","l0"
"2016-05-25 15:30:00","magtb",1,"l2","l2"
"2016-05-25 15:30:00","humt",1,"l2","l0"
"2016-05-25 15:00:00","humt",1,"l2","l0"
"2016-05-25 14:00:00","nagtb",1,"l2","l0"
"2016-05-25 13:30:00","mngsa",1,"l2","l0"
"2016-05-25 13:30:00","magtb",1,"l2","l2"
"2016-05-25 13:30:00","bayta",1,"l2","l0"
"2016-05-25 13:00:00","mngsa",1,"l2","l0"
"2016-05-25 13:00:00","martb",1,"l2","l0"
"2016-05-25 13:00:00","magtb",1,"l2","l2"
"2016-05-25 13:00:00","imeta",1,"l2","l0"
"2016-05-25 13:00:00","bayta",1,"l2","l0"
"2016-05-25 13:00:00","baktc",1,"l2","l2"
"2016-05-25 12:30:00","martb",1,"l2","l0"
"2016-05-25 12:30:00","magtb",1,"l2","l0"
"2016-05-25 12:30:00","imeta",1,"l2","l0"
"2016-05-25 12:30:00","bayta",1,"l2","l0"
"2016-05-25 12:30:00","baktc",1,"l2","l0"
"2016-05-25 12:00:00","magtb",1,"l2","l0"
"2016-05-25 12:00:00","imeta",1,"l2","l0"
"2016-05-25 12:00:00","baktc",1,"l2","l0"
"2016-05-25 11:30:00","magtb",1,"l2","l0"
"2016-05-25 11:30:00","baktc",1,"l2","l0"
"2016-05-25 10:00:00","mngsa",1,"l2","l0"
"2016-05-25 10:00:00","luntb",1,"l2","l0"
"2016-05-25 10:00:00","humb",1,"l2","l0"
"2016-05-25 09:30:00","imeta",1,"l2","l2"
"2016-05-25 09:00:00","mngtb",1,"l2","l0"
"2016-05-25 08:30:00","oslb",1,"l2","l0"
"2016-05-25 03:30:00","martb",1,"l2","l2"
"2016-05-25 03:00:00","martb",1,"l2","l2"
"2016-05-25 03:00:00","gamt",1,"l2","l0"
"2016-05-25 02:30:00","martb",1,"l2","l2"
"2016-05-25 02:30:00","gamt",1,"l2","l0"
"2016-05-25 02:00:00","martb",1,"l2","l2"
